"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"2","0.028922","::","ff02::1:ffd5:d700","ICMPv6","78","Neighbor Solicitation for fe80::eaa:b7ff:fed5:d700"
"3","0.139627","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"4","0.813456","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"5","1.034374","fe80::eaa:b7ff:fed5:d700","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"6","1.035372","fe80::eaa:b7ff:fed5:d700","ff02::2","ICMPv6","70","Router Solicitation from 0c:aa:b7:d5:d7:00"
"7","1.138097","fe80::eaa:b7ff:fed5:d700","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"8","1.408374","fe80::eaa:b7ff:fed5:d700","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"9","1.891590","fe80::eaa:b7ff:fed5:d700","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"10","1.897574","192.168.0.2","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"11","2.169846","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","216","Standard query 0x0000 ANY 0.0.7.d.5.d.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question AAAA fe80::eaa:b7ff:fed5:d700 PTR genericx86.local"
"12","2.195776","192.168.0.2","224.0.0.251","MDNS","252","Standard query 0x0000 ANY 0.0.7.d.5.d.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question ANY 2.0.168.192.in-addr.arpa, ""QM"" question A 192.168.0.2 PTR genericx86.local AAAA fe80::eaa:b7ff:fed5:d700 PTR genericx86.local"
"13","2.385269","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","216","Standard query 0x0000 ANY 0.0.7.d.5.d.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question AAAA fe80::eaa:b7ff:fed5:d700 PTR genericx86.local"
"14","2.386267","192.168.0.2","224.0.0.251","MDNS","252","Standard query 0x0000 ANY 0.0.7.d.5.d.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question ANY 2.0.168.192.in-addr.arpa, ""QM"" question A 192.168.0.2 PTR genericx86.local AAAA fe80::eaa:b7ff:fed5:d700 PTR genericx86.local"
"15","2.553819","192.168.0.2","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"16","2.556810","fe80::eaa:b7ff:fed5:d700","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"17","2.635601","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","216","Standard query 0x0000 ANY 0.0.7.d.5.d.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question AAAA fe80::eaa:b7ff:fed5:d700 PTR genericx86.local"
"18","2.636597","192.168.0.2","224.0.0.251","MDNS","252","Standard query 0x0000 ANY 0.0.7.d.5.d.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question ANY 2.0.168.192.in-addr.arpa, ""QM"" question A 192.168.0.2 PTR genericx86.local AAAA fe80::eaa:b7ff:fed5:d700 PTR genericx86.local"
"19","2.866981","192.168.0.2","224.0.0.251","MDNS","234","Standard query response 0x0000 PTR, cache flush genericx86.local A, cache flush 192.168.0.2 PTR, cache flush genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700"
"20","2.866981","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","204","Standard query response 0x0000 PTR, cache flush genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700"
"21","3.102860","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","210","Standard query 0x0000 ANY genericx86._ssh._tcp.local, ""QM"" question ANY genericx86._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86.local TXT SRV 0 0 22 genericx86.local TXT"
"22","3.102860","192.168.0.2","224.0.0.251","MDNS","190","Standard query 0x0000 ANY genericx86._ssh._tcp.local, ""QM"" question ANY genericx86._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86.local TXT SRV 0 0 22 genericx86.local TXT"
"23","3.354208","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","210","Standard query 0x0000 ANY genericx86._ssh._tcp.local, ""QM"" question ANY genericx86._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86.local TXT SRV 0 0 22 genericx86.local TXT"
"24","3.354208","192.168.0.2","224.0.0.251","MDNS","190","Standard query 0x0000 ANY genericx86._ssh._tcp.local, ""QM"" question ANY genericx86._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86.local TXT SRV 0 0 22 genericx86.local TXT"
"25","3.607254","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","210","Standard query 0x0000 ANY genericx86._ssh._tcp.local, ""QM"" question ANY genericx86._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86.local TXT SRV 0 0 22 genericx86.local TXT"
"26","3.607254","192.168.0.2","224.0.0.251","MDNS","190","Standard query 0x0000 ANY genericx86._ssh._tcp.local, ""QM"" question ANY genericx86._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86.local TXT SRV 0 0 22 genericx86.local TXT"
"27","3.810563","192.168.0.2","224.0.0.251","MDNS","301","Standard query response 0x0000 TXT, cache flush PTR genericx86._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700 A, cache flush 192.168.0.2 TXT, cache flush PTR _sftp-ssh._tcp.local PTR genericx86._ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local PTR _ssh._tcp.local"
"28","3.810563","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","305","Standard query response 0x0000 TXT, cache flush PTR genericx86._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700 TXT, cache flush PTR _sftp-ssh._tcp.local PTR genericx86._ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local PTR _ssh._tcp.local"
"29","4.023026","192.168.0.2","224.0.0.251","MDNS","156","Standard query response 0x0000 PTR, cache flush genericx86.local"
"30","4.023026","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","176","Standard query response 0x0000 PTR, cache flush genericx86.local"
"31","4.049977","192.168.0.2","224.0.0.251","MDNS","108","Standard query response 0x0000 PTR, cache flush genericx86.local"
"32","4.993289","192.168.0.2","224.0.0.251","MDNS","301","Standard query response 0x0000 TXT, cache flush PTR genericx86._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700 A, cache flush 192.168.0.2 TXT, cache flush PTR _sftp-ssh._tcp.local PTR genericx86._ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local PTR _ssh._tcp.local"
"33","4.995283","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","305","Standard query response 0x0000 TXT, cache flush PTR genericx86._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700 TXT, cache flush PTR _sftp-ssh._tcp.local PTR genericx86._ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local PTR _ssh._tcp.local"
"34","5.037171","fe80::eaa:b7ff:fed5:d700","ff02::2","ICMPv6","70","Router Solicitation from 0c:aa:b7:d5:d7:00"
"35","5.602658","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"36","5.840592","::","ff02::1:ffcc:6800","ICMPv6","78","Neighbor Solicitation for fe80::eaa:b7ff:fecc:6800"
"37","6.206777","192.168.0.2","224.0.0.251","MDNS","184","Standard query response 0x0000 PTR, cache flush genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700"
"38","6.206777","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","204","Standard query response 0x0000 PTR, cache flush genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700"
"39","6.234702","192.168.0.2","224.0.0.251","MDNS","124","Standard query response 0x0000 PTR, cache flush genericx86.local A, cache flush 192.168.0.2"
"40","6.347399","::","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"41","6.451122","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"42","6.846066","fe80::eaa:b7ff:fecc:6800","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"43","6.847064","fe80::eaa:b7ff:fecc:6800","ff02::2","ICMPv6","70","Router Solicitation from 0c:aa:b7:cc:68:00"
"44","7.176183","192.168.0.2","224.0.0.251","MDNS","301","Standard query response 0x0000 TXT, cache flush PTR genericx86._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700 A, cache flush 192.168.0.2 TXT, cache flush PTR _sftp-ssh._tcp.local PTR genericx86._ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local PTR _ssh._tcp.local"
"45","7.177180","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","305","Standard query response 0x0000 TXT, cache flush PTR genericx86._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700 TXT, cache flush PTR _sftp-ssh._tcp.local PTR genericx86._ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local PTR _ssh._tcp.local"
"46","7.393602","fe80::eaa:b7ff:fecc:6800","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"47","7.528242","fe80::eaa:b7ff:fecc:6800","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"48","7.534226","192.168.0.1","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"49","7.639451","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","216","Standard query 0x0000 ANY 0.0.8.6.c.c.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question AAAA fe80::eaa:b7ff:fecc:6800 PTR genericx86.local"
"50","7.652417","192.168.0.1","224.0.0.251","MDNS","252","Standard query 0x0000 ANY 0.0.8.6.c.c.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question ANY 1.0.168.192.in-addr.arpa, ""QM"" question A 192.168.0.1 PTR genericx86.local AAAA fe80::eaa:b7ff:fecc:6800 PTR genericx86.local"
"51","7.708267","fe80::eaa:b7ff:fecc:6800","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"52","7.878811","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","216","Standard query 0x0000 ANY 0.0.8.6.c.c.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question AAAA fe80::eaa:b7ff:fecc:6800 PTR genericx86.local"
"53","7.881804","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","118","Standard query response 0x0000 AAAA, cache flush fe80::eaa:b7ff:fed5:d700"
"54","7.889782","192.168.0.1","224.0.0.251","MDNS","252","Standard query 0x0000 ANY 0.0.8.6.c.c.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question ANY 1.0.168.192.in-addr.arpa, ""QM"" question A 192.168.0.1 PTR genericx86.local AAAA fe80::eaa:b7ff:fecc:6800 PTR genericx86.local"
"55","7.892775","192.168.0.2","224.0.0.251","MDNS","114","Standard query response 0x0000 AAAA, cache flush fe80::eaa:b7ff:fed5:d700 A, cache flush 192.168.0.2"
"56","8.293702","192.168.0.1","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"57","8.627487","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","218","Standard query 0x0000 ANY 0.0.8.6.c.c.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86-2.local, ""QM"" question AAAA fe80::eaa:b7ff:fecc:6800 PTR genericx86-2.local"
"58","8.627487","192.168.0.1","224.0.0.251","MDNS","254","Standard query 0x0000 ANY 0.0.8.6.c.c.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86-2.local, ""QM"" question ANY 1.0.168.192.in-addr.arpa, ""QM"" question A 192.168.0.1 PTR genericx86-2.local AAAA fe80::eaa:b7ff:fecc:6800 PTR genericx86-2.local"
"59","8.878420","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","218","Standard query 0x0000 ANY 0.0.8.6.c.c.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86-2.local, ""QM"" question AAAA fe80::eaa:b7ff:fecc:6800 PTR genericx86-2.local"
"60","8.879420","192.168.0.1","224.0.0.251","MDNS","254","Standard query 0x0000 ANY 0.0.8.6.c.c.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86-2.local, ""QM"" question ANY 1.0.168.192.in-addr.arpa, ""QM"" question A 192.168.0.1 PTR genericx86-2.local AAAA fe80::eaa:b7ff:fecc:6800 PTR genericx86-2.local"
"61","9.053729","fe80::eaa:b7ff:fed5:d700","ff02::2","ICMPv6","70","Router Solicitation from 0c:aa:b7:d5:d7:00"
"62","9.132990","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","218","Standard query 0x0000 ANY 0.0.8.6.c.c.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86-2.local, ""QM"" question AAAA fe80::eaa:b7ff:fecc:6800 PTR genericx86-2.local"
"63","9.132990","192.168.0.1","224.0.0.251","MDNS","254","Standard query 0x0000 ANY 0.0.8.6.c.c.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86-2.local, ""QM"" question ANY 1.0.168.192.in-addr.arpa, ""QM"" question A 192.168.0.1 PTR genericx86-2.local AAAA fe80::eaa:b7ff:fecc:6800 PTR genericx86-2.local"
"64","9.339075","192.168.0.1","224.0.0.251","MDNS","236","Standard query response 0x0000 PTR, cache flush genericx86-2.local A, cache flush 192.168.0.1 PTR, cache flush genericx86-2.local AAAA, cache flush fe80::eaa:b7ff:fecc:6800"
"65","9.339075","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","206","Standard query response 0x0000 PTR, cache flush genericx86-2.local AAAA, cache flush fe80::eaa:b7ff:fecc:6800"
"66","9.426644","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","216","Standard query 0x0000 ANY genericx86-2._ssh._tcp.local, ""QM"" question ANY genericx86-2._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86-2.local TXT SRV 0 0 22 genericx86-2.local TXT"
"67","9.426644","192.168.0.1","224.0.0.251","MDNS","196","Standard query 0x0000 ANY genericx86-2._ssh._tcp.local, ""QM"" question ANY genericx86-2._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86-2.local TXT SRV 0 0 22 genericx86-2.local TXT"
"68","9.678871","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","216","Standard query 0x0000 ANY genericx86-2._ssh._tcp.local, ""QM"" question ANY genericx86-2._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86-2.local TXT SRV 0 0 22 genericx86-2.local TXT"
"69","9.678871","192.168.0.1","224.0.0.251","MDNS","196","Standard query 0x0000 ANY genericx86-2._ssh._tcp.local, ""QM"" question ANY genericx86-2._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86-2.local TXT SRV 0 0 22 genericx86-2.local TXT"
"70","9.931306","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","216","Standard query 0x0000 ANY genericx86-2._ssh._tcp.local, ""QM"" question ANY genericx86-2._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86-2.local TXT SRV 0 0 22 genericx86-2.local TXT"
"71","9.931306","192.168.0.1","224.0.0.251","MDNS","196","Standard query 0x0000 ANY genericx86-2._ssh._tcp.local, ""QM"" question ANY genericx86-2._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86-2.local TXT SRV 0 0 22 genericx86-2.local TXT"
"72","10.136501","192.168.0.1","224.0.0.251","MDNS","307","Standard query response 0x0000 TXT, cache flush PTR genericx86-2._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86-2.local AAAA, cache flush fe80::eaa:b7ff:fecc:6800 A, cache flush 192.168.0.1 TXT, cache flush PTR _sftp-ssh._tcp.local PTR genericx86-2._ssh._tcp.local SRV, cache flush 0 0 22 genericx86-2.local PTR _ssh._tcp.local"
"73","10.139503","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","311","Standard query response 0x0000 TXT, cache flush PTR genericx86-2._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86-2.local AAAA, cache flush fe80::eaa:b7ff:fecc:6800 TXT, cache flush PTR _sftp-ssh._tcp.local PTR genericx86-2._ssh._tcp.local SRV, cache flush 0 0 22 genericx86-2.local PTR _ssh._tcp.local"
"74","10.367957","192.168.0.1","224.0.0.251","MDNS","158","Standard query response 0x0000 PTR, cache flush genericx86-2.local"
"75","10.367957","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","178","Standard query response 0x0000 PTR, cache flush genericx86-2.local"
"76","10.372944","192.168.0.1","224.0.0.251","MDNS","110","Standard query response 0x0000 PTR, cache flush genericx86-2.local"
"77","10.849322","fe80::eaa:b7ff:fecc:6800","ff02::2","ICMPv6","70","Router Solicitation from 0c:aa:b7:cc:68:00"
"78","11.167857","192.168.0.1","224.0.0.251","MDNS","223","Standard query response 0x0000 TXT, cache flush PTR genericx86-2._ssh._tcp.local SRV, cache flush 0 0 22 genericx86-2.local AAAA, cache flush fe80::eaa:b7ff:fecc:6800 A, cache flush 192.168.0.1 PTR _ssh._tcp.local"
"79","11.167857","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","213","Standard query response 0x0000 TXT, cache flush SRV, cache flush 0 0 22 genericx86-2.local AAAA, cache flush fe80::eaa:b7ff:fecc:6800 PTR _ssh._tcp.local"
"80","11.168855","192.168.0.1","224.0.0.251","MDNS","184","Standard query response 0x0000 TXT, cache flush PTR genericx86-2._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86-2.local PTR _sftp-ssh._tcp.local"
"81","11.169851","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","236","Standard query response 0x0000 TXT, cache flush PTR genericx86-2._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86-2.local PTR _sftp-ssh._tcp.local PTR genericx86-2._ssh._tcp.local"
"82","12.404937","192.168.0.1","224.0.0.251","MDNS","186","Standard query response 0x0000 PTR, cache flush genericx86-2.local AAAA, cache flush fe80::eaa:b7ff:fecc:6800"
"83","12.405935","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","206","Standard query response 0x0000 PTR, cache flush genericx86-2.local AAAA, cache flush fe80::eaa:b7ff:fecc:6800"
"84","12.405935","192.168.0.1","224.0.0.251","MDNS","126","Standard query response 0x0000 PTR, cache flush genericx86-2.local A, cache flush 192.168.0.1"
"85","13.201241","192.168.0.1","224.0.0.251","MDNS","223","Standard query response 0x0000 TXT, cache flush PTR genericx86-2._ssh._tcp.local SRV, cache flush 0 0 22 genericx86-2.local AAAA, cache flush fe80::eaa:b7ff:fecc:6800 A, cache flush 192.168.0.1 PTR _ssh._tcp.local"
"86","13.202247","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","227","Standard query response 0x0000 TXT, cache flush PTR genericx86-2._ssh._tcp.local SRV, cache flush 0 0 22 genericx86-2.local AAAA, cache flush fe80::eaa:b7ff:fecc:6800 PTR _ssh._tcp.local"
"87","13.204254","192.168.0.1","224.0.0.251","MDNS","184","Standard query response 0x0000 TXT, cache flush PTR genericx86-2._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86-2.local PTR _sftp-ssh._tcp.local"
"88","13.205258","fe80::eaa:b7ff:fecc:6800","ff02::fb","MDNS","204","Standard query response 0x0000 TXT, cache flush PTR genericx86-2._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86-2.local PTR _sftp-ssh._tcp.local"
"89","14.865283","fe80::eaa:b7ff:fecc:6800","ff02::2","ICMPv6","70","Router Solicitation from 0c:aa:b7:cc:68:00"
"90","386.447915","0c:aa:b7:d5:d7:00","Broadcast","ARP","60","Who has 192.168.0.1? Tell 192.168.0.2"
"91","386.456885","0c:aa:b7:cc:68:00","0c:aa:b7:d5:d7:00","ARP","60","192.168.0.1 is at 0c:aa:b7:cc:68:00"
"92","386.461885","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"93","386.461885","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"94","386.461885","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"95","386.461885","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"96","386.461885","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"97","386.461885","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"98","386.461885","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"99","386.465852","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"100","386.465852","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"101","386.465852","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"102","386.465852","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"103","386.465852","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"104","386.465852","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"105","386.465852","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"106","386.465852","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"107","386.465852","192.168.0.2","192.168.0.1","UDP","60","58784  >  10223 Len=8"
"108","386.469829","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"109","386.470827","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"110","386.470827","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"111","386.470827","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"112","386.470827","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"113","386.470827","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"114","386.470827","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"115","386.470827","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"116","386.470827","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"117","386.471824","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"118","386.471824","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"119","386.471824","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"120","386.471824","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"121","386.471824","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"122","386.472844","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"123","386.472844","192.168.0.1","192.168.0.2","UDP","60","10223  >  58784 Len=12"
"124","391.488889","0c:aa:b7:cc:68:00","0c:aa:b7:d5:d7:00","ARP","60","Who has 192.168.0.2? Tell 192.168.0.1"
"125","391.491854","0c:aa:b7:d5:d7:00","0c:aa:b7:cc:68:00","ARP","60","192.168.0.2 is at 0c:aa:b7:d5:d7:00"
